"Sample_ID","Proposal_ID","Sample_number","Depth","Mean_C","Mean_H","Mean_O","Mean_N","Mean_S","Mean_P","Mean_AImod","Mean_NOSC","Mean_GFE","total_formulas"
"60923_1_BTM","60923","1","BTM",18.4623040842009,24.8389200320329,8.94920489646494,0.739045875757922,0.108912023795904,0.0522823475574877,0.0911711017046105,-0.215250497654731,66.4346391831598,8741
"60923_1_TOP","60923","1","TOP",20.3034612288704,26.8028798855201,9.68383865486092,0.711295948484035,0.105178427689831,0.0545568374921742,0.126423772471156,-0.21063978177265,66.3032337805205,11181
"60923_10_BTM","60923","10","BTM",19.0661884988046,25.3325783314458,9.20989052472631,0.742796023656726,0.115263621492387,0.0534793003649176,0.0977345287529885,-0.201081666037498,66.0308274820687,7947
"60923_10_TOP","60923","10","TOP",19.0706310679612,25.2510922330097,9.21650485436893,0.739563106796116,0.114563106796117,0.0532766990291262,0.106636432038835,-0.200887330097087,66.025288907767,8240
"60923_11_BTM","60923","11","BTM",19.9011296395912,25.9841850457235,9.60753093060785,0.724260355029586,0.110919849381388,0.0560516406670253,0.11908664873588,-0.191369478214094,65.7540301291017,9295
"60923_11_TOP","60923","11","TOP",19.5729245384865,25.7236316528123,9.47565583504264,0.727733995465832,0.107740472848969,0.052574759797042,0.112664547122962,-0.197884411097916,65.9397057162906,9263
"60923_12_BTM","60923","12","BTM",19.8241513633834,26.004674457429,9.56972732331664,0.723650528658876,0.111630495269894,0.0543127434613244,0.11434693377852,-0.196959610461881,65.9133488981636,8985
"60923_12_TOP","60923","12","TOP",18.335967021642,24.7585022329097,8.79354173823428,0.750257643421505,0.117313637925112,0.0480934386808657,0.0895667468223978,-0.222984438337341,66.6550564926142,5822
"60923_13_BTM","60923","13","BTM",20.0169898061163,26.1041375174895,9.63152108734759,0.725364781131321,0.113931641015391,0.0565660603637817,0.122548780731561,-0.188166320207875,65.6627401259244,10006
"60923_13_TOP","60923","13","TOP",18.4969316397888,24.7489653203939,8.91037533894677,0.74140145568717,0.116312259169402,0.0486656200941915,0.097913986013986,-0.210901969459112,66.3107061295847,7007
"60923_14_BTM","60923","14","BTM",20.0938430983118,26.1013902681231,9.69245283018868,0.729791459781529,0.113505461767627,0.0585898709036743,0.127234746772592,-0.178113932472691,65.3762470754717,10070
"60923_14_TOP","60923","14","TOP",19.3414213431463,25.5870515179393,9.35878564857406,0.734245630174793,0.108440662373505,0.0526678932842686,0.110314868905244,-0.198590489880405,65.9598289615915,8696
"60923_15_BTM","60923","15","BTM",19.0653394589076,25.1986983154671,9.26186830015314,0.727794793261868,0.10962225625319,0.0469627360898418,0.117505270546197,-0.188022562531904,65.6586430321593,7836
"60923_15_TOP","60923","15","TOP",19.3618913349962,25.1520442468279,9.514477822362,0.723782669992409,0.110291725409392,0.0519466435310704,0.134997115280338,-0.158310985793298,64.811863095109,9221
"60923_16_BTM","60923","16","BTM",18.7756749234623,24.5510715279711,9.19078764263846,0.734066239910938,0.112858335652658,0.0463401057612023,0.120169746729752,-0.172731102143056,65.2228364110771,7186
"60923_16_TOP","60923","16","TOP",19.3862795650712,25.2257594440085,9.50935993722677,0.727833202555767,0.112655531891044,0.0499943952471696,0.128909685012891,-0.163058782647685,64.947175305459,8921
"60923_17_BTM","60923","17","BTM",19.1100787957192,24.9288486416559,9.33376455368693,0.733153004821828,0.113018934493708,0.0477478536986946,0.126587957191579,-0.165452416794073,65.0153938786311,8503
"60923_17_TOP","60923","17","TOP",19.3119803255651,25.3478159035016,9.38938985829722,0.728539641644221,0.110083147909591,0.0501229652184096,0.124440016395362,-0.180431221454503,65.4422898114533,8539
"60923_18_BTM","60923","18","BTM",19.1554549902153,25.103228962818,9.34931506849315,0.726638943248532,0.116805283757339,0.0480675146771037,0.119206457925636,-0.174597223581213,65.2760208720646,8176
"60923_18_TOP","60923","18","TOP",20.1586872238752,25.9178613290055,9.81516544946353,0.726895681182941,0.117212153998738,0.0570733026778469,0.141088810747453,-0.15520488684519,64.7233392750879,11091
"60923_19_BTM","60923","19","BTM",18.4480460070579,24.0305842373546,9.06391321395896,0.7419945105215,0.115540452228467,0.0461377597699647,0.120777388576657,-0.159139119069403,64.835464893478,7651
"60923_19_TOP","60923","19","TOP",19.4719387755102,25.3183460884354,9.50520833333333,0.730229591836735,0.112776360544218,0.0519770408163265,0.131193080357143,-0.165098703231292,65.0053130420918,9408
"60923_2_BTM","60923","2","BTM",18.6959216561299,24.6269988843436,9.01599107474898,0.74996900954506,0.128796330730135,0.0547911243337052,0.109680265278294,-0.191471166480724,65.7569282447006,8067
"60923_2_TOP","60923","2","TOP",20.4331183160754,26.6479375318282,9.80622984213207,0.718893226956374,0.126294347309455,0.0616194194534035,0.127243354269224,-0.19088851638092,65.7403227168562,11782
"60923_20_BTM","60923","20","BTM",18.8440377804014,24.5122786304605,9.23482880755608,0.736127508854782,0.116646989374262,0.0484061393152302,0.12588626918536,-0.160301770956316,64.868600472255,8470
"60923_20_TOP","60923","20","TOP",19.3623391514843,25.6561345394318,9.36170212765957,0.730921136450503,0.11377245508982,0.0512167155051599,0.110854057841763,-0.201761753089566,66.0502099630526,7849
"60923_21_BTM","60923","21","BTM",17.847470579245,23.3833104080697,8.72611951704111,0.747822099954149,0.123032248204188,0.0427938254623262,0.119023872841204,-0.164448372306282,64.986778610729,6543
"60923_21_TOP","60923","21","TOP",19.5347843775427,25.3551668022783,9.51220504475183,0.729963384865745,0.114117168429618,0.0517697314890155,0.134927176566314,-0.164946074043938,65.0009631102522,9832
"60923_3_BTM","60923","3","BTM",19.0349056603774,25.0846960167715,9.17557651991614,0.741614255765199,0.118972746331237,0.0539832285115304,0.113595052410901,-0.193841970649895,65.824496163522,9540
"60923_3_TOP","60923","3","TOP",19.7458144573567,26.0307268071696,9.49241678156392,0.738723655702186,0.112369509552886,0.0520976954894623,0.119927988969864,-0.197175024620839,65.9194882016939,10154
"60923_4_BTM","60923","4","BTM",18.6950180842375,24.7658382919146,8.98483257496208,0.74670400186676,0.127989732819974,0.0547194026367985,0.102887434371719,-0.19840808540427,65.9546304340217,8571
"60923_4_TOP","60923","4","TOP",20.3954623287671,26.5818493150685,9.75171232876712,0.728082191780822,0.117208904109589,0.0601027397260274,0.129839554794521,-0.192141926369863,65.7760449015411,11680
"60923_5_BTM","60923","5","BTM",17.6860710517059,23.5742173760113,8.45568061906437,0.757474498768906,0.125571579317622,0.0467815687653887,0.103805663032008,-0.200737618712628,66.0210221333099,5686
"60923_5_TOP","60923","5","TOP",20.1497547776087,26.2547776086589,9.64104515474378,0.732707593438187,0.121511922881786,0.058684255031287,0.135006663284289,-0.188456232031118,65.6710026128869,11826
"60923_6_BTM","60923","6","BTM",18.6685736575218,24.7603692627747,8.97958652971005,0.759459108048368,0.120660512287089,0.0513587309842673,0.10881868417631,-0.197102301391237,65.9174155896502,7691
"60923_6_TOP","60923","6","TOP",17.8743007568279,23.8721618953603,8.53372820006581,0.762750904902929,0.121586048042119,0.0442579795985522,0.106047285291214,-0.207908028956894,66.2253788252715,6078
"60923_7_BTM","60923","7","BTM",18.2933535995578,24.5097416056377,8.81677490672931,0.745060107779467,0.116622910045599,0.0479480447699323,0.096500082907282,-0.208537101008705,66.2433073787481,7237
"60923_7_TOP","60923","7","TOP",20.097286449699,26.0563650641305,9.65081581013873,0.741034813716081,0.123113166390367,0.05767385044935,0.139061722362796,-0.173247107582235,65.2375425660937,11461
"60923_8_BTM","60923","8","BTM",18.6209260217279,24.7749612002069,8.9657268494568,0.744309363683394,0.117692705638903,0.0517330574236937,0.101513877392654,-0.20520742369374,66.1484115752716,7732
"60923_8_TOP","60923","8","TOP",18.7358971093849,24.9694384311728,9.0171908824653,0.746466318604355,0.114351203361773,0.052082006876353,0.0997268050426589,-0.20930183369413,66.2651022602827,7853
"60923_9_BTM","60923","9","BTM",18.8474816436944,24.9112456524539,9.08669328867706,0.737472626561896,0.116321009918846,0.0498518613937911,0.112943204946541,-0.196798789127914,65.9087654901456,7763
"60923_9_TOP","60923","9","TOP",19.3050962627407,25.4732729331823,9.3436013590034,0.734088335220838,0.111551528878822,0.0528878822197055,0.110361109852775,-0.197299558323896,65.923037412231,8830
